"country","year","num_cases","num_deaths","region"
"Saudi Arabia",2013,34,0,"Eastern Mediterranean"
"Somalia",2013,8944,23,"Eastern Mediterranean"
"Sudan",2013,592383,685,"Eastern Mediterranean"
"Syrian Arab Republic",2013,0,1,"Eastern Mediterranean"
"United Arab Emirates",2013,0,NA,"Eastern Mediterranean"
"Yemen",2013,102778,55,"Eastern Mediterranean"
"Afghanistan",2012,54840,36,"Eastern Mediterranean"
"Djibouti",2012,25,0,"Eastern Mediterranean"
"Egypt",2012,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2012,756,0,"Eastern Mediterranean"
"Iraq",2012,0,0,"Eastern Mediterranean"
"Morocco",2012,0,NA,"Eastern Mediterranean"
"Oman",2012,0,0,"Eastern Mediterranean"
"Pakistan",2012,290781,260,"Eastern Mediterranean"
"Saudi Arabia",2012,82,0,"Eastern Mediterranean"
"Somalia",2012,35712,10,"Eastern Mediterranean"
"Sudan",2012,526931,618,"Eastern Mediterranean"
"Syrian Arab Republic",2012,0,1,"Eastern Mediterranean"
"United Arab Emirates",2012,NA,NA,"Eastern Mediterranean"
"Yemen",2012,109908,72,"Eastern Mediterranean"
"Afghanistan",2011,77549,40,"Eastern Mediterranean"
"Djibouti",2011,NA,0,"Eastern Mediterranean"
"Egypt",2011,0,4,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2011,1632,0,"Eastern Mediterranean"
"Iraq",2011,0,0,"Eastern Mediterranean"
"Morocco",2011,0,NA,"Eastern Mediterranean"
"Oman",2011,0,0,"Eastern Mediterranean"
"Pakistan",2011,334589,4,"Eastern Mediterranean"
"Saudi Arabia",2011,69,0,"Eastern Mediterranean"
"Somalia",2011,3351,5,"Eastern Mediterranean"
"Sudan",2011,506806,612,"Eastern Mediterranean"
"Syrian Arab Republic",2011,0,0,"Eastern Mediterranean"
"United Arab Emirates",2011,NA,NA,"Eastern Mediterranean"
"Yemen",2011,90410,75,"Eastern Mediterranean"
"Afghanistan",2010,69397,22,"Eastern Mediterranean"
"Djibouti",2010,1010,0,"Eastern Mediterranean"
"Egypt",2010,0,2,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2010,1847,0,"Eastern Mediterranean"
"Iraq",2010,0,0,"Eastern Mediterranean"
"Morocco",2010,3,2,"Eastern Mediterranean"
"Oman",2010,7,0,"Eastern Mediterranean"
"Pakistan",2010,240591,NA,"Eastern Mediterranean"
"Saudi Arabia",2010,29,0,"Eastern Mediterranean"
"Somalia",2010,24553,6,"Eastern Mediterranean"
"Sudan",2010,720557,1023,"Eastern Mediterranean"
"Syrian Arab Republic",2010,0,0,"Eastern Mediterranean"
"United Arab Emirates",2010,NA,NA,"Eastern Mediterranean"
"Yemen",2010,106697,92,"Eastern Mediterranean"
"Afghanistan",2009,64880,32,"Eastern Mediterranean"
"Djibouti",2009,2686,0,"Eastern Mediterranean"
"Egypt",2009,0,2,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2009,4345,NA,"Eastern Mediterranean"
"Iraq",2009,0,0,"Eastern Mediterranean"
"Morocco",2009,0,1,"Eastern Mediterranean"
"Oman",2009,0,2,"Eastern Mediterranean"
"Pakistan",2009,167579,NA,"Eastern Mediterranean"
"Saudi Arabia",2009,58,0,"Eastern Mediterranean"
"Somalia",2009,25202,45,"Eastern Mediterranean"
"Sudan",2009,711462,1142,"Eastern Mediterranean"
"Syrian Arab Republic",2009,0,1,"Eastern Mediterranean"
"United Arab Emirates",2009,NA,NA,"Eastern Mediterranean"
"Yemen",2009,55446,38,"Eastern Mediterranean"
"Afghanistan",2008,81574,46,"Eastern Mediterranean"
"Djibouti",2008,119,NA,"Eastern Mediterranean"
"Egypt",2008,0,2,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2008,8349,3,"Eastern Mediterranean"
"Iraq",2008,2,0,"Eastern Mediterranean"
"Morocco",2008,0,1,"Eastern Mediterranean"
"Oman",2008,8,2,"Eastern Mediterranean"
"Pakistan",2008,104454,NA,"Eastern Mediterranean"
"Saudi Arabia",2008,61,0,"Eastern Mediterranean"
"Somalia",2008,36905,49,"Eastern Mediterranean"
"Sudan",2008,569296,1125,"Eastern Mediterranean"
"Syrian Arab Republic",2008,0,1,"Eastern Mediterranean"
"United Arab Emirates",2008,NA,NA,"Eastern Mediterranean"
"Yemen",2008,44206,NA,"Eastern Mediterranean"
"Afghanistan",2007,92202,25,"Eastern Mediterranean"
"Djibouti",2007,210,1,"Eastern Mediterranean"
"Egypt",2007,0,0,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2007,15712,3,"Eastern Mediterranean"
"Iraq",2007,3,0,"Eastern Mediterranean"
"Morocco",2007,0,2,"Eastern Mediterranean"
"Oman",2007,4,0,"Eastern Mediterranean"
"Pakistan",2007,128570,24,"Eastern Mediterranean"
"Saudi Arabia",2007,467,0,"Eastern Mediterranean"
"Somalia",2007,16675,45,"Eastern Mediterranean"
"Sudan",2007,686908,1254,"Eastern Mediterranean"
"Syrian Arab Republic",2007,0,1,"Eastern Mediterranean"
"United Arab Emirates",2007,NA,NA,"Eastern Mediterranean"
"Yemen",2007,67677,NA,"Eastern Mediterranean"
"Afghanistan",2006,86129,NA,"Eastern Mediterranean"
"Djibouti",2006,1796,29,"Eastern Mediterranean"
"Egypt",2006,0,0,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2006,15909,1,"Eastern Mediterranean"
"Iraq",2006,24,0,"Eastern Mediterranean"
"Morocco",2006,0,2,"Eastern Mediterranean"
"Oman",2006,0,0,"Eastern Mediterranean"
"Pakistan",2006,124910,9,"Eastern Mediterranean"
"Saudi Arabia",2006,1278,0,"Eastern Mediterranean"
"Somalia",2006,16430,58,"Eastern Mediterranean"
"Sudan",2006,721233,1193,"Eastern Mediterranean"
"Syrian Arab Republic",2006,0,2,"Eastern Mediterranean"
"United Arab Emirates",2006,NA,NA,"Eastern Mediterranean"
"Yemen",2006,55000,73,"Eastern Mediterranean"
"Afghanistan",2005,116444,0,"Eastern Mediterranean"
"Djibouti",2005,413,NA,"Eastern Mediterranean"
"Egypt",2005,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2005,18966,1,"Eastern Mediterranean"
"Iraq",2005,47,0,"Eastern Mediterranean"
"Morocco",2005,0,1,"Eastern Mediterranean"
"Oman",2005,0,0,"Eastern Mediterranean"
"Pakistan",2005,127826,52,"Eastern Mediterranean"
"Saudi Arabia",2005,1059,0,"Eastern Mediterranean"
"Somalia",2005,12516,15,"Eastern Mediterranean"
"Sudan",2005,628417,1789,"Eastern Mediterranean"
"Syrian Arab Republic",2005,0,2,"Eastern Mediterranean"
"United Arab Emirates",2005,NA,NA,"Eastern Mediterranean"
"Yemen",2005,44150,NA,"Eastern Mediterranean"
"Afghanistan",2004,242022,NA,"Eastern Mediterranean"
"Djibouti",2004,122,NA,"Eastern Mediterranean"
"Egypt",2004,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2004,13821,1,"Eastern Mediterranean"
"Iraq",2004,155,NA,"Eastern Mediterranean"
"Morocco",2004,1,NA,"Eastern Mediterranean"
"Oman",2004,0,NA,"Eastern Mediterranean"
"Pakistan",2004,126719,NA,"Eastern Mediterranean"
"Saudi Arabia",2004,1232,0,"Eastern Mediterranean"
"Somalia",2004,11436,79,"Eastern Mediterranean"
"Sudan",2004,537899,1814,"Eastern Mediterranean"
"Syrian Arab Republic",2004,1,NA,"Eastern Mediterranean"
"United Arab Emirates",2004,NA,NA,"Eastern Mediterranean"
"Yemen",2004,48756,NA,"Eastern Mediterranean"
"Afghanistan",2003,360940,NA,"Eastern Mediterranean"
"Djibouti",2003,5036,NA,"Eastern Mediterranean"
"Egypt",2003,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2003,23562,5,"Eastern Mediterranean"
"Iraq",2003,347,NA,"Eastern Mediterranean"
"Morocco",2003,4,NA,"Eastern Mediterranean"
"Oman",2003,6,NA,"Eastern Mediterranean"
"Pakistan",2003,125152,NA,"Eastern Mediterranean"
"Saudi Arabia",2003,1724,0,"Eastern Mediterranean"
"Somalia",2003,7571,54,"Eastern Mediterranean"
"Sudan",2003,933267,2479,"Eastern Mediterranean"
"Syrian Arab Republic",2003,2,NA,"Eastern Mediterranean"
"United Arab Emirates",2003,NA,NA,"Eastern Mediterranean"
"Yemen",2003,50811,NA,"Eastern Mediterranean"
"Afghanistan",2002,415356,NA,"Eastern Mediterranean"
"Djibouti",2002,NA,NA,"Eastern Mediterranean"
"Egypt",2002,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2002,15558,2,"Eastern Mediterranean"
"Iraq",2002,952,NA,"Eastern Mediterranean"
"Morocco",2002,19,NA,"Eastern Mediterranean"
"Oman",2002,6,NA,"Eastern Mediterranean"
"Pakistan",2002,107666,NA,"Eastern Mediterranean"
"Saudi Arabia",2002,2612,0,"Eastern Mediterranean"
"Somalia",2002,15732,8,"Eastern Mediterranean"
"Sudan",2002,280550,2125,"Eastern Mediterranean"
"Syrian Arab Republic",2002,15,NA,"Eastern Mediterranean"
"United Arab Emirates",2002,NA,NA,"Eastern Mediterranean"
"Yemen",2002,75508,NA,"Eastern Mediterranean"
"Afghanistan",2001,50850,NA,"Eastern Mediterranean"
"Djibouti",2001,NA,NA,"Eastern Mediterranean"
"Egypt",2001,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2001,19303,2,"Eastern Mediterranean"
"Iraq",2001,1265,NA,"Eastern Mediterranean"
"Morocco",2001,0,NA,"Eastern Mediterranean"
"Oman",2001,2,NA,"Eastern Mediterranean"
"Pakistan",2001,125292,NA,"Eastern Mediterranean"
"Saudi Arabia",2001,3074,0,"Eastern Mediterranean"
"Somalia",2001,NA,NA,"Eastern Mediterranean"
"Sudan",2001,203491,2252,"Eastern Mediterranean"
"Syrian Arab Republic",2001,63,NA,"Eastern Mediterranean"
"United Arab Emirates",2001,NA,NA,"Eastern Mediterranean"
"Yemen",2001,NA,NA,"Eastern Mediterranean"
"Afghanistan",2000,94475,NA,"Eastern Mediterranean"
"Djibouti",2000,NA,NA,"Eastern Mediterranean"
"Egypt",2000,0,NA,"Eastern Mediterranean"
"Iran (Islamic Republic of)",2000,19716,4,"Eastern Mediterranean"
"Iraq",2000,1860,NA,"Eastern Mediterranean"
"Morocco",2000,3,NA,"Eastern Mediterranean"
"Oman",2000,6,NA,"Eastern Mediterranean"
"Pakistan",2000,82526,NA,"Eastern Mediterranean"
"Saudi Arabia",2000,6608,NA,"Eastern Mediterranean"
"Somalia",2000,NA,NA,"Eastern Mediterranean"
"Sudan",2000,368557,2162,"Eastern Mediterranean"
"Syrian Arab Republic",2000,6,NA,"Eastern Mediterranean"
"United Arab Emirates",2000,NA,NA,"Eastern Mediterranean"
"Yemen",2000,1394495,NA,"Eastern Mediterranean"
